,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
1452,Spider-Man 2,,,"Jun 29, 2004",Digital Eclipse,Action/Platformer/2D,65.0,7.9,E,Game Boy Advance,1 Player
1453,Mafia,,,"Jan 28, 2004",Illusion Softworks,Action Adventure/Historic,65.0,8.3,M,PS2,1 Player
1454,Medal of Honor Rising Sun,,,"Nov 11, 2003",EA LA,Action/Shooter/First-Person/Historic,65.0,5.9,T,Xbox,1-4
1455,Journey to the Center of the Earth,,,"Oct 27, 2003",Micro Application,Adventure/3D/Fantasy/Third-Person/Fantasy,65.0,6.4,E,PC,No Online Multiplayer
1456,Marvel vs. Capcom 2,,,"Mar 27, 2003",Capcom,Action/Fighting/2D,65.0,8.1,T,Xbox,1-2
1457,Star Wars: Bounty Hunter,,,"Nov 19, 2002",LucasArts,Action/Shooter/Third-Person/Sci-Fi,65.0,8.1,T,PS2,1 Player
1458,Monster Force,,,"Sep 29, 2002",Digital Eclipse,Action/Shooter/Third-Person/Fantasy,65.0,-,E,Game Boy Advance,1-2
1459,US Open 2002,,,"Aug 14, 2002",Wanadoo,Sports/Traditional/Individual/Tennis/Tennis,65.0,-,E,PC,1-4
1460,Dark Eclipse,None,,"Sep 25, 2018",SunSoft,Action/Role-Playing/General/Action RPG,65.0,6.7,T,PS4,No Online Multiplayer
1461,Dynasty Warriors 8,12.87,0.15,"Jul 16, 2013",Omega Force,Action/Beat-'Em-Up/Beat-'Em-Up/3D,65.0,7.6,T,X360,2
1462,Need for Speed: The Run,40.0,0.19,"Nov 15, 2011",Firebrand Games,Driving/Racing/Simulation/GT / Street/GT / Street/Automobile,65.0,6.7,E10+,3DS,Up to 4
1463,Smarty Pants,7.2,1.43,"Nov 13, 2007",Planet Moon Studios,Miscellaneous/Trivia / Game Show/Trivia / Game Show,65.0,7.5,E,Wii,1-4
1464,Sega Superstars Tennis,16.75,0.74,"Mar 18, 2008",Sumo Digital,Sports/Traditional/Individual/Tennis/Tennis,65.0,8.3,E,DS,1-4
1465,Flow: Urban Dance Uprising,,0.04,"Nov 15, 2005",Artificial Mind and Movement,Miscellaneous/Rhythm/Dancing,65.0,-,T,PS2,-
1466,Counter-Strike: Condition Zero,,,"Jan  3, 2004",Turtle Rock Studios,Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade,65.0,8.7,M,PC,1-32
1467,Unrest,None,,"Jul 23, 2014",Pyrodactyl Games,General/Role-Playing/General,65.0,6.1,-,PC,-
1468,Supreme Ruler 2020,16.28,,"Jul  1, 2008",BattleGoat Studios,Strategy/Turn-Based/Wargame/Turn-Based/General,65.0,7.2,E10+,PC,16  Online
1469,"Warhammer 40,000: Kill Team",None,,"Aug  2, 2011",THQ Warrington,Action/Shooter/Shooter/Third-Person/Sci-Fi/Sci-Fi/Arcade,65.0,6.7,T,PS3,-
1470,Star Wars: The Force Unleashed - Ultimate Sith Edition,52.18,,"Nov  3, 2009",LucasArts,Action/Miscellaneous/General/Compilation,65.0,6.2,T,PC,No Online Multiplayer
1471,The Godfather II,32.35,0.79,"Apr  7, 2009",EA Redwood Shores,Action Adventure/Adventure/Third-Person/Historic/Linear/Open-World/Modern,65.0,6.9,M,X360,Up to 16
1472,Moonglow Bay,None,,"Oct 26, 2021",Bunnyhug,Strategy/General/Management/Business / Tycoon,65.0,-,E,PC,No Online Multiplayer
1473,Zool Redimensioned,None,,"Aug 18, 2021","Sumo Digital, Sumo Digital Academy",Action/Platformer/2D,65.0,7.6,-,PC,No Online Multiplayer
1474,Within the Blade,None,,"Jul 16, 2021",Ametist Studio,Action/Platformer/2D,65.0,-,M,NS,No Online Multiplayer
1475,Cyanide & Happiness - Freakpocalypse,None,,"Mar 11, 2021","Serenity Forge, Explosm",Action Adventure/General,65.0,-,M,NS,No Online Multiplayer
1476,Golden Force,43.94,,"Jan 28, 2021","Storybird, Storybird Studio",Action Adventure/Open-World,65.0,-,M,NS,No Online Multiplayer
1477,Ultracore,99.59,,"Jun 23, 2020",Strictly Limited Games,Action/Platformer/2D,65.0,-,T,NS,No Online Multiplayer
1478,My Hero One's Justice 2,73.0,,"Mar 13, 2020",Bandai Namco Games,Action/Fighting/3D,65.0,6.5,T,NS,Up to 4
1479,Might & Magic: Chess Royale,80.36,0.59,"Jan 30, 2020",Ubisoft,Strategy/Miscellaneous/Turn-Based/Board / Card Game/Tactics,65.0,3.4,-,PC,Up to more than 64
1480,SELF,None,,"Jan 16, 2020",doBell,Adventure/General/Text,65.0,-,E10+,NS,No Online Multiplayer
1481,The Church in the Darkness,34.92,,"Aug  2, 2019",Paranoid Productions,Action Adventure/Open-World,65.0,7.1,-,PC,No Online Multiplayer
1482,Sniper Elite V2 Remastered,49.17,,"May 14, 2019",Rebellion,Action/Shooter/Third-Person/Tactical,65.0,4.2,M,PS4,Up to 16
1483,One Piece: World Seeker,22.39,,"Mar 15, 2019",Ganbarion,Action Adventure/Open-World,65.0,5.6,T,XOne,No Online Multiplayer
1484,The VideoKid,26.08,,"Aug 30, 2018",Chorus Worldwide,Action/Arcade,65.0,5.8,E10+,NS,No Online Multiplayer
1485,I Hate Running Backwards,50.0,,"May 22, 2018",Binx Interactive,Action/Shooter/Shoot-'Em-Up/Vertical,65.0,-,T,XOne,2
1486,Spelunker Party!,None,,"Oct 19, 2017",Tozai Games,Action/Platformer/2D,65.0,6.6,E,NS,-
1487,Atomega,None,,"Sep 19, 2017",Ubisoft Reflections,Action/General,65.0,6.5,-,PC,Online Multiplayer
